status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate,target_depth
completed,23,7,36,"{""h"": 12, ""cx"": 7, ""x"": 6, ""z"": 4, ""barrier"": 4, ""y"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,10,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-vnxb2e4mluofs5wvj905,"{""00"": 2, ""01"": 1, ""10"": 3, ""11"": 4}",0.2,23
completed,23,9,45,"{""h"": 10, ""cx"": 9, ""y"": 8, ""sdg"": 5, ""s"": 5, ""barrier"": 4, ""measure"": 3, ""z"": 2, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,12,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-31o287zgosrm03ildpjf,"{""000"": 3, ""001"": 1, ""101"": 1, ""110"": 1, ""111"": 4}",0.3,23
completed,23,11,50,"{""h"": 14, ""cx"": 11, ""s"": 8, ""sdg"": 8, ""x"": 4, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,12,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-wlv1piqryqtbf2c1inzc,"{""0000"": 1, ""0001"": 2, ""0101"": 2, ""1100"": 1, ""1101"": 3, ""1110"": 1}",0.1,23
completed,23,13,51,"{""h"": 20, ""cx"": 13, ""measure"": 5, ""s"": 4, ""sdg"": 4, ""barrier"": 4, ""y"": 2, ""x"": 2, ""cz"": 1}",8,5,0,0,False,False,5,10,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-tjhik7jv5mbhuj8u1jie,"{""00000"": 2, ""00001"": 1, ""00011"": 1, ""00111"": 1, ""01000"": 2, ""01100"": 1, ""01110"": 1, ""11111"": 1}",0.2,23
completed,23,5,23,"{""cx"": 5, ""h"": 4, ""y"": 4, ""x"": 4, ""barrier"": 4, ""sdg"": 2, ""s"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,6,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-81u18d1c43ylx79ro4ds,"{""0"": 10}",1.0,23
completed,23,7,36,"{""h"": 10, ""cx"": 7, ""y"": 6, ""z"": 4, ""barrier"": 4, ""sdg"": 2, ""x"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,10,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-97463xo2dylvl8bc2j7t,"{""00"": 5, ""01"": 1, ""10"": 2, ""11"": 2}",0.5,23
completed,23,9,45,"{""h"": 14, ""cx"": 9, ""sdg"": 5, ""s"": 5, ""z"": 4, ""barrier"": 4, ""measure"": 3, ""x"": 2, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,12,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-11iw7u5pg9ax8c2j2f5n,"{""001"": 2, ""010"": 2, ""100"": 2, ""101"": 1, ""111"": 3}",0.0,23
completed,23,11,50,"{""h"": 16, ""cx"": 11, ""z"": 6, ""y"": 6, ""barrier"": 4, ""measure"": 4, ""x"": 2, ""s"": 2, ""sdg"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-no5q8u1frbtaotul34pl,"{""0001"": 3, ""0010"": 1, ""0100"": 2, ""0101"": 1, ""0111"": 1, ""1011"": 1, ""1100"": 1}",0.0,23
completed,23,13,51,"{""h"": 14, ""cx"": 13, ""sdg"": 5, ""s"": 5, ""measure"": 5, ""y"": 4, ""barrier"": 4, ""z"": 2, ""x"": 2, ""cz"": 1}",8,5,0,0,False,False,5,10,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-4vkld2jgwrzkmnq22txr,"{""00010"": 2, ""00100"": 1, ""00101"": 1, ""00110"": 1, ""00111"": 1, ""01100"": 1, ""11000"": 2, ""11100"": 1}",0.0,23
timeout,25,5,25,"{""h"": 8, ""cx"": 5, ""barrier"": 4, ""sdg"": 2, ""y"": 2, ""s"": 2, ""x"": 2, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-efl1bmi4sorzh9w6g9yc,"{""0"": 1024}",1.0,25
