status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,iteration
completed,21,9,39,"{""cx"": 9, ""h"": 8, ""sdg"": 6, ""s"": 6, ""barrier"": 6, ""x"": 4, ""measure"": 3, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,5
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""barrier"": 6, ""sdg"": 4, ""s"": 4, ""measure"": 3, ""x"": 2, ""y"": 2, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,6
completed,21,9,39,"{""h"": 14, ""cx"": 9, ""x"": 6, ""barrier"": 6, ""measure"": 3, ""z"": 2, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,7
completed,21,9,39,"{""h"": 10, ""cx"": 9, ""barrier"": 6, ""y"": 4, ""z"": 4, ""sdg"": 3, ""s"": 3, ""measure"": 3, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,8
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""y"": 6, ""barrier"": 6, ""x"": 4, ""measure"": 3, ""s"": 2, ""sdg"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,9
completed,21,9,39,"{""h"": 10, ""cx"": 9, ""barrier"": 6, ""s"": 5, ""sdg"": 5, ""x"": 4, ""measure"": 3, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,10
completed,21,9,39,"{""h"": 10, ""cx"": 9, ""y"": 6, ""barrier"": 6, ""x"": 4, ""sdg"": 3, ""s"": 3, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,11
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""z"": 6, ""barrier"": 6, ""x"": 4, ""measure"": 3, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,12
completed,21,9,39,"{""cx"": 9, ""h"": 8, ""s"": 6, ""sdg"": 6, ""barrier"": 6, ""z"": 4, ""measure"": 3, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,13
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""barrier"": 6, ""z"": 4, ""sdg"": 4, ""s"": 4, ""measure"": 3, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,14
completed,21,9,39,"{""h"": 10, ""cx"": 9, ""y"": 8, ""barrier"": 6, ""s"": 3, ""sdg"": 3, ""measure"": 3, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,15
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""measure"": 3, ""y"": 2, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,16
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""y"": 8, ""barrier"": 6, ""sdg"": 3, ""s"": 3, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,17
completed,21,9,39,"{""h"": 14, ""cx"": 9, ""z"": 6, ""barrier"": 6, ""measure"": 3, ""y"": 2, ""s"": 2, ""sdg"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,18
completed,21,9,39,"{""h"": 12, ""cx"": 9, ""z"": 6, ""barrier"": 6, ""sdg"": 3, ""s"": 3, ""measure"": 3, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,19
completed,21,9,39,"{""h"": 10, ""cx"": 9, ""z"": 6, ""barrier"": 6, ""sdg"": 3, ""s"": 3, ""measure"": 3, ""x"": 2, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,simulation,fixed_payload_experiments,"{""000"": 1024}",1.0,20
completed,23,11,50,"{""h"": 12, ""cx"": 11, ""z"": 10, ""barrier"": 6, ""y"": 4, ""measure"": 4, ""sdg"": 3, ""s"": 3, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,1
completed,23,11,50,"{""h"": 18, ""cx"": 11, ""x"": 6, ""barrier"": 6, ""y"": 4, ""measure"": 4, ""z"": 2, ""sdg"": 2, ""s"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,2
completed,23,11,50,"{""h"": 14, ""cx"": 11, ""x"": 8, ""z"": 6, ""barrier"": 6, ""measure"": 4, ""y"": 2, ""s"": 2, ""sdg"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,3
