status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,target_depth
completed,27,11,66,"{""h"": 24, ""cx"": 11, ""z"": 6, ""s"": 6, ""sdg"": 6, ""barrier"": 6, ""x"": 4, ""y"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,27
completed,27,13,71,"{""h"": 18, ""cx"": 13, ""s"": 12, ""sdg"": 12, ""barrier"": 6, ""measure"": 5, ""x"": 4, ""y"": 4, ""z"": 2, ""cz"": 1}",8,5,0,0,False,False,5,20,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,27
completed,27,5,27,"{""barrier"": 6, ""cx"": 5, ""s"": 5, ""sdg"": 5, ""h"": 4, ""z"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,8,simulation,target_depth_experiment,"{""0"": 1024}",1.0,27
completed,27,7,44,"{""h"": 12, ""cx"": 7, ""y"": 6, ""z"": 6, ""barrier"": 6, ""sdg"": 4, ""s"": 4, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,14,simulation,target_depth_experiment,"{""00"": 1024}",1.0,27
completed,27,9,57,"{""h"": 12, ""cx"": 9, ""sdg"": 8, ""s"": 8, ""z"": 8, ""x"": 6, ""barrier"": 6, ""measure"": 3, ""y"": 2, ""cz"": 1}",6,3,0,0,False,False,3,18,simulation,target_depth_experiment,"{""000"": 1024}",1.0,27
completed,27,11,66,"{""x"": 14, ""h"": 12, ""cx"": 11, ""z"": 10, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""y"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,27
completed,27,13,71,"{""h"": 22, ""cx"": 13, ""y"": 10, ""x"": 6, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""sdg"": 4, ""s"": 4, ""cz"": 1}",8,5,0,0,False,False,5,20,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,27
completed,29,5,29,"{""h"": 12, ""barrier"": 6, ""cx"": 5, ""y"": 4, ""x"": 2, ""s"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,9,simulation,target_depth_experiment,"{""0"": 1024}",1.0,29
completed,29,7,48,"{""s"": 9, ""sdg"": 9, ""cx"": 7, ""h"": 6, ""x"": 6, ""barrier"": 6, ""z"": 4, ""y"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,16,simulation,target_depth_experiment,"{""00"": 1024}",1.0,29
completed,29,9,63,"{""h"": 12, ""cx"": 9, ""y"": 8, ""x"": 8, ""z"": 8, ""sdg"": 7, ""s"": 7, ""barrier"": 6, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,21,simulation,target_depth_experiment,"{""000"": 1024}",1.0,29
completed,29,11,74,"{""h"": 18, ""x"": 14, ""cx"": 11, ""s"": 8, ""sdg"": 8, ""z"": 6, ""barrier"": 6, ""y"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,24,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,29
completed,29,13,81,"{""h"": 20, ""x"": 14, ""cx"": 13, ""y"": 10, ""sdg"": 6, ""s"": 6, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""cz"": 1}",8,5,0,0,False,False,5,25,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,29
completed,29,5,29,"{""barrier"": 6, ""cx"": 5, ""s"": 5, ""sdg"": 5, ""h"": 4, ""x"": 4, ""z"": 2, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,9,simulation,target_depth_experiment,"{""0"": 1024}",1.0,29
completed,29,7,48,"{""h"": 14, ""cx"": 7, ""y"": 6, ""x"": 6, ""barrier"": 6, ""sdg"": 4, ""z"": 4, ""s"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,16,simulation,target_depth_experiment,"{""00"": 1024}",1.0,29
completed,29,9,63,"{""h"": 20, ""y"": 10, ""cx"": 9, ""x"": 6, ""sdg"": 6, ""s"": 6, ""barrier"": 6, ""measure"": 3, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,21,simulation,target_depth_experiment,"{""000"": 1024}",1.0,29
completed,29,11,74,"{""h"": 14, ""cx"": 11, ""s"": 10, ""z"": 10, ""sdg"": 10, ""y"": 8, ""x"": 6, ""barrier"": 6, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,24,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,29
completed,29,13,81,"{""h"": 26, ""cx"": 13, ""sdg"": 11, ""s"": 11, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""y"": 4, ""x"": 4, ""cz"": 1}",8,5,0,0,False,False,5,25,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,29
completed,31,5,31,"{""z"": 8, ""barrier"": 6, ""cx"": 5, ""h"": 4, ""y"": 4, ""s"": 3, ""sdg"": 3, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10,simulation,target_depth_experiment,"{""0"": 1024}",1.0,31
completed,31,7,52,"{""y"": 10, ""h"": 8, ""cx"": 7, ""sdg"": 7, ""s"": 7, ""z"": 6, ""barrier"": 6, ""x"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,18,simulation,target_depth_experiment,"{""00"": 1024}",1.0,31
completed,31,9,69,"{""h"": 12, ""y"": 12, ""sdg"": 11, ""s"": 11, ""cx"": 9, ""x"": 6, ""barrier"": 6, ""z"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,24,simulation,target_depth_experiment,"{""000"": 1024}",1.0,31
completed,31,11,82,"{""h"": 22, ""cx"": 11, ""y"": 10, ""x"": 10, ""s"": 8, ""sdg"": 8, ""z"": 8, ""barrier"": 6, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,28,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,31
completed,31,13,91,"{""h"": 16, ""s"": 14, ""sdg"": 14, ""cx"": 13, ""x"": 10, ""z"": 10, ""y"": 8, ""barrier"": 6, ""measure"": 5, ""cz"": 1}",8,5,0,0,False,False,5,30,simulation,target_depth_experiment,"{""00000"": 1024}",1.0,31
completed,31,5,31,"{""h"": 6, ""x"": 6, ""barrier"": 6, ""cx"": 5, ""y"": 4, ""s"": 3, ""sdg"": 3, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,10,simulation,target_depth_experiment,"{""0"": 1024}",1.0,31
completed,31,7,52,"{""h"": 12, ""x"": 8, ""cx"": 7, ""z"": 6, ""sdg"": 6, ""s"": 6, ""barrier"": 6, ""y"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,18,simulation,target_depth_experiment,"{""00"": 1024}",1.0,31
completed,31,9,69,"{""h"": 16, ""x"": 14, ""z"": 14, ""cx"": 9, ""barrier"": 6, ""y"": 4, ""s"": 4, ""sdg"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,24,simulation,target_depth_experiment,"{""000"": 1024}",1.0,31
completed,31,11,82,"{""h"": 18, ""x"": 14, ""y"": 12, ""cx"": 11, ""sdg"": 10, ""s"": 10, ""barrier"": 6, ""measure"": 4, ""z"": 2, ""cz"": 1}",7,4,0,0,False,False,4,28,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,31
